"id","prioritat","domini","accio","ruta_origen","ruta_destinacio","precondicio","motiu"
"SEC-001","P0","secrets","REVOKE_PURGE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/ext.tar.gz","","Revocar/desvincular primer la sessió WhatsApp; localitzar Git, ZIP i backups compartits","Conté material complet d'autenticació Baileys i identificadors telefònics"
"SEC-002","P0","privacitat","PURGE_PRIVATE","src/sections/gestoria/logic/dashboard_data.js","emmagatzematge privat xifrat, si cal conservar-lo","Confirmar si les dades són reals; inventariar còpies i historial","Llibre major financer granular dins del frontend"
"SEC-003","P0","web","DISABLE","src/sections/connectar/ConnectarSection.jsx","","Fins que auth, visibility i RLS estiguen implementats","El selector Privat no s'envia i l'autor es pot suplantar"
"SEC-004","P0","web","REWRITE","src/sections/detail/detailRichText.jsx","","Cap HTML d'usuari pot arribar a dangerouslySetInnerHTML","Sanitització per regex vulnerable a XSS"
"SEC-005","P0","web","REWRITE","src/sections/text/TextSection.jsx","","Renderitzat estructurat o HTML sanejat a la frontera","dangerouslySetInnerHTML sense contracte de confiança"
"SEC-006","P0","web","REWRITE","src/sections/detail/PageDetailSection.jsx","","Renderitzat estructurat o HTML sanejat a la frontera","dangerouslySetInnerHTML sobre dades de pàgina"
"SEC-007","P0","web","REWRITE","src/sections/notes/NotesSection.jsx","","Renderitzat estructurat o HTML sanejat a la frontera","dangerouslySetInnerHTML sobre notes"
"SEC-008","P0","auth","REMOVE_UNTIL_REAL","src/sections/login/","","Implementar Supabase Auth, guards i RLS abans de recuperar la UI","Formularis i Google no autentiquen"
"SEC-009","P0","auth","REMOVE_UNTIL_REAL","src/sections/control/","","Implementar auth i autorització administrativa abans de recuperar-la","Centre de control públic i enllaços inexistents"
"SEC-010","P0","bot","REWRITE","bot/index.mjs","","Canviar allowAllGroups a false i carregar allowlist explícita abans d'arrancar","El comentari diu fail-closed però el codi permet tots els grups"
"SEC-011","P0","bot","REWRITE","bot/cervell.mjs","","Resoldre i validar cada ruta dins del corpus públic permés","Traversal possible via d.path i RAG sense ACL"
"BUILD-002","P0","web","RESTORE_OR_CREATE","index.html","","Reconstruir des de la font original fiable","Vite no té punt d'entrada"
"BUILD-003","P0","web","RESTORE_OR_CREATE","vite.config.js","","Incloure només plugins realment adoptats","Falta configuració de build"
"BUILD-004","P0","paquet","CREATE","package-lock.json","","Reinstal·lació neta i auditoria de dependències","Build no reproduïble"
"BUILD-005","P0","assets","RESTORE_OR_REMAP","public/assets/","src/assets/ per a assets de build; URLs backend per a uploads","Recuperar originals i verificar llicències","73 rutes /assets distintes no existeixen"
"BUILD-006","P0","bot","RESTORE_OR_REWRITE","tooling/wiki/core/edge_rag.mjs","","Recuperar implementació provada o substituir per indexador simple","Import crític absent; el bot no arranca"
"BUILD-007","P0","backend","RESTORE_OR_DEFINE","supabase/","","Incloure schema, migracions i polítiques RLS versionades","No es pot auditar ni reproduir el backend"
"WEB-001","P0","routing","REWRITE","src/app/App.jsx","","LegacyChatDetailRedirect ha d'anar a /chat/:threadId","/chats/:threadId es redirigeix a si mateixa"
"WEB-002","P0","xat","REWRITE","src/sections/xat/XatSection.jsx","","Connectar-lo a una API real i a una identitat autenticada","Xat hard-coded; submit no envia res"
"WEB-003","P0","dades","REWRITE","src/data/supabaseBackend.js","src/data/backend.js","Migrar/exportar primer qualsevol dada existent només en Dexie","1.162 línies barregen REST, legacy, seed, local i errors silenciosos"
"WEB-004","P0","dades","REWRITE","src/data/appSeed.js","","Eliminar DEFAULT_USER_ID compartit de fluxos privats","Tots els convidats usen owner_user_id=foraster"
"WEB-005","P1","offline","DELETE","src/data/db.js","","Exportar/sincronitzar dades locals i desplegar desregistre del SW","Dexie deixa de ser font de veritat"
"WEB-006","P1","offline","DELETE_BLOCKS","src/app/AppDataContext.jsx","","Eliminar constants/listeners de snapshot, BroadcastChannel i storage","Sincronització local complexa i parcial"
"WEB-007","P1","offline","DELETE_LINES","src/main.jsx","","Desplegar primer una versió que desregistre service workers antics","Eliminar virtual:pwa-register i registerSW"
"WEB-008","P1","offline","DELETE","src/sections/dispositius/","","Confirmar que P2P no és producte vigent","Simulació entre pestanyes amb dispositius falsos"
"WEB-009","P1","offline","DELETE_ROUTE","src/app/App.jsx","","Juntament amb WEB-008","Eliminar imports i rutes /dispositius i /connectivitat"
"WEB-010","P1","offline","DELETE_CONFIG","src/config/sections.js","","Juntament amb WEB-008","Eliminar secció dispositius i traduccions relacionades"
"WEB-011","P0","privacitat","DELETE","src/sections/gestoria/","","SEC-002 completada; conservar només una còpia privada si cal","Secció inassolible, dades financeres i HTMLs duplicats"
"WEB-012","P1","codi_mort","DELETE","src/components/design-system/DesignSystemPage.jsx","","Cap consumidor","Import relatiu inexistent"
"WEB-013","P1","codi_mort","DELETE","src/config/designSystemMarkdown.js","","Cap consumidor","Bolcat Markdown no executable"
"WEB-014","P1","codi_mort","DELETE","src/config/storage.js","","Cap consumidor","Mòdul inassolible"
"WEB-015","P1","codi_mort","DELETE","src/sections/disseny/markdown.js","","Cap consumidor","Duplicació inassolible"
"WEB-016","P2","taxonomia","MOVE_OR_DELETE","src/config/taxonomy-registry.json","_wiki_de_poble/03_GOVERNAR_Normativa_Regles/metadata_schema.json","Adoptar-lo realment o eliminar-lo","No participa en runtime"
"WEB-017","P2","disseny","DELETE_OR_DEV_ONLY","src/components/design-system/","","Si /disseny no és funcionalitat pública","Mostrari intern de 1.434 línies en producció"
"WEB-018","P2","disseny","DELETE_OR_DEV_ONLY","src/sections/disseny/","","Si /disseny no és funcionalitat pública","Ruta interna i dependència Tailwind accidental"
"WEB-019","P2","disseny","DELETE","src/pages/features/sosp-components.css","","Després de retirar el mostrari","CSS del mostrari"
"WEB-020","P2","disseny","DELETE_RANGE","src/styles/global.css","","Verificar selectors abans; rang original 450-1434","985 línies d'un sistema vell sense classes usades"
"WEB-021","P2","codi_mort","DELETE_AFTER_CHAT_REWRITE","src/components/universal/UniversalComponents.jsx","","Després de WEB-002","Compatibilitat universal antiga"
"WEB-022","P2","codi_mort","DELETE_AFTER_CHAT_REWRITE","src/components/universal/Universal.css","","Després de WEB-002","Col·lideix globalment amb .badge"
"WEB-023","P2","model_dades","KEEP_REVIEW","src/sections/notes/notesContent.js","","Mantindre mentre src/data/sectionContent.js l'importe; reconciliar els dos models de notes","Té un import estàtic actiu; eliminar-lo trencaria el build"
"WEB-024","P2","text_public","REWRITE","src/sections/text/pageContent.js","","Copiar només capacitats verificades","Publicita A10, PWA, CRDT, P2P i components inexistents"
"PKG-001","P1","dependencia","REMOVE","package.json:dependencies.dexie","","Després de WEB-005","Persistència offline retirada"
"PKG-002","P1","dependencia","REMOVE","package.json:dependencies.workbox-window","","Després de desregistrar el SW","PWA retirada i paquet sense import"
"PKG-003","P1","dependencia","REMOVE","package.json:devDependencies.vite-plugin-pwa","","Després de retirar config PWA","PWA retirada"
"PKG-004","P2","dependencia","REMOVE","package.json:dependencies.lucide","","Mantindre lucide-react","Paquet duplicat i sense imports"
"PKG-005","P2","dependencia","REMOVE_IF_NO_DEMO","package.json:devDependencies.tailwindcss","","Després de retirar /disseny","Només sosté el mostrari"
"PKG-006","P2","dependencia","REMOVE_IF_NO_DEMO","package.json:devDependencies.@tailwindcss/vite","","Després de retirar /disseny","Només sosté el mostrari"
"PKG-007","P1","estructura","SPLIT","package.json","bot/package.json","Crear workspace o paquets separats","Web no ha d'instal·lar Baileys, Google AI, dotenv ni QR"
"PKG-008","P1","scripts","DELETE_OR_RESTORE","package.json:scripts.db:seed:generate","scripts/generate-supabase-seed.sh","No mantindre contractes fantasma","Target absent"
"PKG-009","P1","scripts","DELETE_OR_RESTORE","package.json:scripts.wiki:link","scripts/enllacat-intelligent-wiki.mjs","Substituïble per tooling/brain","Target absent"
"PKG-010","P1","scripts","REPLACE_BLOCK","package.json:scripts.wiki:*","tooling/brain/","Copiar la suite lliurada i afegir scripts reals","Tooling referenciat absent"
"PKG-011","P1","scripts","DELETE","package.json:scripts.reflex:*","","Retirar Protocol Petorreta o implementar-lo de veritat","Ritual i targets inexistents"
"BOT-001","P0","rutes","REWRITE","bot/cervell.mjs:12-14,57","","Calcular PROJECT_ROOT des d'import.meta.url","Cap cwd satisfà totes les rutes"
"BOT-002","P1","sessions","REWRITE","bot/cervell.mjs:25,127-146,232-238","","TTL, màxim de sessions i màxim de missatges","Map i histories creixen indefinidament amb JID cru"
"BOT-003","P0","memoria","DISABLE_THEN_REDESIGN","bot/memoria/episodica.mjs","","Consentiment explícit, opt-out, /oblida'm, HMAC, 0600 i escriptura atòmica","Opt-in implícit i garanties de privacitat falses"
"BOT-004","P1","shutdown","REWRITE","bot/index.mjs:21-29,58-60,73-75","","Tancar adaptador i posar exitCode sense process.exit prematur","Deixa locks stale i salta teardown"
"BOT-005","P1","logging","REWRITE","bot/index.mjs:42-48","","Logger estructurat i redaccionat","Imprimeix objectes Baileys crus"
"BOT-006","P1","transport","DECIDE","bot/whatsapp_baileys.mjs","webhook oficial WhatsApp Cloud API o Baileys endurit","Ratificar si grups/compte personal són imprescindibles","Offline no justifica llevar dedupe, rate limits o shutdown"
"BOT-007","P1","transport","DELETE_IF_CLOUD_API","bot/whatsapp_baileys.mjs","","Només si BOT-006 tria API oficial i capacitats necessàries encaixen","Elimina 2.304 línies de transport no oficial"
"BOT-008","P1","transport","DELETE_IF_CLOUD_API","bot/guardrails.mjs","","Només si BOT-006 tria API oficial; reimplementar idempotència/quota mínima","Gran part és específica de Baileys"
"BOT-009","P1","dependencia","DELETE_IF_CLOUD_API","package.json:dependencies.baileys","","Només si BOT-006 tria API oficial","Autenticació local ja no necessària"
"BOT-010","P1","dependencia","DELETE_IF_CLOUD_API","package.json:dependencies.qrcode-terminal","","Només si BOT-006 tria API oficial","QR local ja no necessari"
"BOT-011","P1","runtime","TRASH_AND_IGNORE","bot/var/","","Aturar primer qualsevol procés real","Sis locks empaquetats i estat efímer"
"BOT-012","P1","auth","MOVE_OUTSIDE_CHECKOUT","bot/.iaia_auth/","/var/lib/iaia/auth o secret volume","Si Baileys continua; permisos 0700/0600","Credencials no han de viure al repositori"
"AUTO-001","P1","script","DELETE_REPLACE",".agents/skills/socdepoble-autosanacio/scripts/audit.py","tooling/brain/brain_audit.py","Copiar la suite lliurada","No valida schema, engoleix errors i sempre ix 0"
"AUTO-002","P0","script","DELETE_REPLACE",".agents/skills/socdepoble-autosanacio/scripts/normalize_yaml.py","tooling/brain/brain_distill.py","No executar normalize_yaml.py","Reescriuria 114 docs, canviaria 33 estats i perdria metadades"
"AUTO-003","P1","script","REWRITE","_wiki_de_poble/99_maquinaria/pdf_clean_generator.sh","tooling/brain/render_pdf.sh","Generació temporal, validació %PDF i rename atòmic","Wildcard pot esborrar PDFs no relacionats"
"AUTO-004","P1","script","DELETE","_wiki_de_poble/05_Escriptori_Soc_de_Poble/quarantena_scripts/sync_iaia.sh","","Substituir per deploy amb staging, checksum, healthcheck i rollback","Rutes errònies, no fail-fast i desplegament no atòmic"
"AUTO-005","P2","generated","DELETE_REGENERATE","_wiki_de_poble/99_maquinaria/00_MEMORIAL_Lapides.md","","Regenerar amb parser que ignore code fences/frontmatter","Conté falsos fantasmes extrets de codi"
"BRAIN-001","P0","autoritat","CREATE","AGENTS.md","","ADR d'agost aprovada","Cap de la cadena d'autoritat"
"BRAIN-002","P0","autoritat","REWRITE",".agents/AGENTS.md","","Fer-la coherent amb AGENTS.md arrel","A10, última acta i rituals contradictoris"
"BRAIN-003","P0","autoritat","REWRITE",".agents/README.md","","Una sola jerarquia","Contradiu Protocol Petorreta"
"BRAIN-004","P0","govern","REPLACE",".agents/PROTOCOL_PETORRETA.md",".agents/PROTOCOL_CHANGE.md","Aprovació especial només per risc/destrucció","Protocol impossible perquè tooling/reflex no existeix"
"BRAIN-005","P1","identitat","REWRITE",".agents/identity/PROFILE.md","","Contracte cognitiu d'agost","Encara imposa local-first i A10"
"BRAIN-006","P1","manifest","REWRITE",".agents/manifest.yaml","","Només skills existents i adoptades","Omet skills i apunta a operate duplicada"
"BRAIN-007","P1","mirall","DELETE_OR_GENERATE","_wiki_de_poble/00_SER_Brain_Identitat/00_AGENTS_I_SKILLS_MIRROR/","","Preferència: eliminar; transició: generar amb sync_agent_mirror.py","14 còpies manuals, incompletes i divergents"
"BRAIN-008","P1","skills","MERGE_DELETE",".agents/skills/socdepoble-operate/",".agents/skills/socdepoble-workflow/","Destil·lar només regles útils","Aproximadament 93% duplicat i manifest inconsistent"
"BRAIN-009","P2","skills","MERGE_DELETE",".agents/skills/campanyes-activisme/",".agents/skills/socdepoble-civic/","Retirar IndexedDB/background sync obligatoris","Solapament cívic"
"BRAIN-010","P2","skills","MERGE_DELETE",".agents/skills/natura-patrimoni/",".agents/skills/socdepoble-civic/","Retirar IndexedDB/background sync obligatoris","Solapament cívic"
"BRAIN-011","P2","skills","MERGE_ARCHIVE",".agents/skills/socdepoble-iaia-actriu/",".agents/identity/PROFILE.md","Conservar energia humana i trellat","Segona personalitat normativa"
"BRAIN-012","P1","skills","REWRITE",".agents/skills/socdepoble-llm-wiki/SKILL.md","","Usar 00_Bandeja_d_Entrada, dry-run i arxiu","Apunta a 00_Raw inexistent"
"BRAIN-013","P1","skills","REWRITE",".agents/skills/socdepoble-autosanacio/SKILL.md","","Documentar tooling/brain real","Cita plaquetes.mjs inexistent"
"BRAIN-014","P2","duplicat","DELETE","_wiki_de_poble/01_SABER_Cultura_Coneixement/Sistema_Immunitari.md","","Després de BRAIN-013","Tercera còpia de l'autosanació"
